Position:,0.4,Truth:,4.92E-01,Calculated:,4.89E-01,Error:,2.96E-03,,0.4,4.92E-01,4.89E-01,2.96E-03
Position:,0.41,Truth:,5.07E-01,Calculated:,5.04E-01,Error:,3.07E-03,,0.41,5.07E-01,5.04E-01,3.07E-03
Position:,0.42,Truth:,5.22E-01,Calculated:,5.19E-01,Error:,3.17E-03,,0.42,5.22E-01,5.19E-01,3.17E-03
Position:,0.43,Truth:,5.37E-01,Calculated:,5.34E-01,Error:,3.28E-03,,0.43,5.37E-01,5.34E-01,3.28E-03
Position:,0.44,Truth:,5.53E-01,Calculated:,5.49E-01,Error:,3.39E-03,,0.44,5.53E-01,5.49E-01,3.39E-03
Position:,0.45,Truth:,5.68E-01,Calculated:,5.65E-01,Error:,3.50E-03,,0.45,5.68E-01,5.65E-01,3.50E-03
Position:,0.46,Truth:,5.84E-01,Calculated:,5.80E-01,Error:,3.62E-03,,0.46,5.84E-01,5.80E-01,3.62E-03
Position:,0.47,Truth:,6.00E-01,Calculated:,5.96E-01,Error:,3.73E-03,,0.47,6.00E-01,5.96E-01,3.73E-03
Position:,0.48,Truth:,6.16E-01,Calculated:,6.12E-01,Error:,3.85E-03,,0.48,6.16E-01,6.12E-01,3.85E-03
Position:,0.49,Truth:,6.32E-01,Calculated:,6.28E-01,Error:,3.97E-03,,0.49,6.32E-01,6.28E-01,3.97E-03
Position:,0.5,Truth:,6.49E-01,Calculated:,6.45E-01,Error:,4.09E-03,,0.5,6.49E-01,6.45E-01,4.09E-03
Position:,0.51,Truth:,6.65E-01,Calculated:,6.61E-01,Error:,4.21E-03,,0.51,6.65E-01,6.61E-01,4.21E-03
Position:,0.52,Truth:,6.82E-01,Calculated:,6.78E-01,Error:,4.34E-03,,0.52,6.82E-01,6.78E-01,4.34E-03
Position:,0.53,Truth:,6.99E-01,Calculated:,6.94E-01,Error:,4.47E-03,,0.53,6.99E-01,6.94E-01,4.47E-03
Position:,0.54,Truth:,7.16E-01,Calculated:,7.11E-01,Error:,4.60E-03,,0.54,7.16E-01,7.11E-01,4.60E-03
Position:,0.55,Truth:,7.33E-01,Calculated:,7.29E-01,Error:,4.73E-03,,0.55,7.33E-01,7.29E-01,4.73E-03
Position:,0.56,Truth:,7.51E-01,Calculated:,7.46E-01,Error:,4.86E-03,,0.56,7.51E-01,7.46E-01,4.86E-03
Position:,0.57,Truth:,7.68E-01,Calculated:,7.63E-01,Error:,5.00E-03,,0.57,7.68E-01,7.63E-01,5.00E-03
Position:,0.58,Truth:,7.86E-01,Calculated:,7.81E-01,Error:,5.14E-03,,0.58,7.86E-01,7.81E-01,5.14E-03
Position:,0.59,Truth:,8.04E-01,Calculated:,7.99E-01,Error:,5.28E-03,,0.59,8.04E-01,7.99E-01,5.28E-03
Position:,0.6,Truth:,8.22E-01,Calculated:,8.17E-01,Error:,5.42E-03,,0.6,8.22E-01,8.17E-01,5.42E-03
Position:,0.61,Truth:,8.40E-01,Calculated:,8.35E-01,Error:,5.57E-03,,0.61,8.40E-01,8.35E-01,5.57E-03
Position:,0.62,Truth:,8.59E-01,Calculated:,8.53E-01,Error:,5.72E-03,,0.62,8.59E-01,8.53E-01,5.72E-03
Position:,0.63,Truth:,8.78E-01,Calculated:,8.72E-01,Error:,5.87E-03,,0.63,8.78E-01,8.72E-01,5.87E-03
Position:,0.64,Truth:,8.96E-01,Calculated:,8.90E-01,Error:,6.02E-03,,0.64,8.96E-01,8.90E-01,6.02E-03
Position:,0.65,Truth:,9.16E-01,Calculated:,9.09E-01,Error:,6.17E-03,,0.65,9.16E-01,9.09E-01,6.17E-03
Position:,0.66,Truth:,9.35E-01,Calculated:,9.28E-01,Error:,6.33E-03,,0.66,9.35E-01,9.28E-01,6.33E-03
Position:,0.67,Truth:,9.54E-01,Calculated:,9.48E-01,Error:,6.49E-03,,0.67,9.54E-01,9.48E-01,6.49E-03
