Position:,0.0036,Truth:,3.61E-03,Calculated:,3.61E-03,Error:,5.14E-15,,,0.0036,5.14E-15,3.61E-03,1.42569E-12
Position:,0.0037,Truth:,3.71E-03,Calculated:,3.71E-03,Error:,5.89E-15,,,0.0037,5.89E-15,3.71E-03,1.58949E-12
Position:,0.0038,Truth:,3.81E-03,Calculated:,3.81E-03,Error:,6.69E-15,,,0.0038,6.69E-15,3.81E-03,1.7574E-12
Position:,0.0039,Truth:,3.91E-03,Calculated:,3.91E-03,Error:,7.43E-15,,,0.0039,7.43E-15,3.91E-03,1.90248E-12
Position:,0.004,Truth:,4.01E-03,Calculated:,4.01E-03,Error:,8.58E-15,,,0.004,8.58E-15,4.01E-03,2.14027E-12
Position:,0.0041,Truth:,4.11E-03,Calculated:,4.11E-03,Error:,9.59E-15,,,0.0041,9.59E-15,4.11E-03,2.33455E-12
Position:,0.0042,Truth:,4.21E-03,Calculated:,4.21E-03,Error:,1.10E-14,,,0.0042,1.10E-14,4.21E-03,2.60281E-12
Position:,0.0043,Truth:,4.31E-03,Calculated:,4.31E-03,Error:,1.22E-14,,,0.0043,1.22E-14,4.31E-03,2.82193E-12
Position:,0.0044,Truth:,4.41E-03,Calculated:,4.41E-03,Error:,1.37E-14,,,0.0044,1.37E-14,4.41E-03,3.10915E-12
Position:,0.0045,Truth:,4.51E-03,Calculated:,4.51E-03,Error:,1.53E-14,,,0.0045,1.53E-14,4.51E-03,3.40088E-12
Position:,0.0046,Truth:,4.61E-03,Calculated:,4.61E-03,Error:,1.71E-14,,,0.0046,1.71E-14,4.61E-03,3.71469E-12
Position:,0.0047,Truth:,4.71E-03,Calculated:,4.71E-03,Error:,1.91E-14,,,0.0047,1.91E-14,4.71E-03,4.0442E-12
Position:,0.0048,Truth:,4.81E-03,Calculated:,4.81E-03,Error:,2.12E-14,,,0.0048,2.12E-14,4.81E-03,4.41005E-12
Position:,0.0049,Truth:,4.91E-03,Calculated:,4.91E-03,Error:,2.36E-14,,,0.0049,2.36E-14,4.91E-03,4.81037E-12
Position:,0.005,Truth:,5.01E-03,Calculated:,5.01E-03,Error:,2.60E-14,,,0.005,2.60E-14,5.01E-03,5.17906E-12
Position:,0.0051,Truth:,5.11E-03,Calculated:,5.11E-03,Error:,2.87E-14,,,0.0051,2.87E-14,5.11E-03,5.60941E-12
Position:,0.0052,Truth:,5.21E-03,Calculated:,5.21E-03,Error:,3.17E-14,,,0.0052,3.17E-14,5.21E-03,6.08354E-12
Position:,0.0053,Truth:,5.31E-03,Calculated:,5.31E-03,Error:,3.49E-14,,,0.0053,3.49E-14,5.31E-03,6.56585E-12
Position:,0.0054,Truth:,5.41E-03,Calculated:,5.41E-03,Error:,3.84E-14,,,0.0054,3.84E-14,5.41E-03,7.08661E-12
Position:,0.0055,Truth:,5.52E-03,Calculated:,5.52E-03,Error:,4.20E-14,,,0.0055,4.20E-14,5.52E-03,7.61559E-12
Position:,0.0056,Truth:,5.62E-03,Calculated:,5.62E-03,Error:,4.60E-14,,,0.0056,4.60E-14,5.62E-03,8.18708E-12
Position:,0.0057,Truth:,5.72E-03,Calculated:,5.72E-03,Error:,5.02E-14,,,0.0057,5.02E-14,5.72E-03,8.77486E-12
Position:,0.0058,Truth:,5.82E-03,Calculated:,5.82E-03,Error:,5.48E-14,,,0.0058,5.48E-14,5.82E-03,9.41477E-12
Position:,0.0059,Truth:,5.92E-03,Calculated:,5.92E-03,Error:,5.97E-14,,,0.0059,5.97E-14,5.92E-03,1.0086E-11
Position:,0.006,Truth:,6.02E-03,Calculated:,6.02E-03,Error:,6.49E-14,,,0.006,6.49E-14,6.02E-03,1.07882E-11
Position:,0.0061,Truth:,6.12E-03,Calculated:,6.12E-03,Error:,7.04E-14,,,0.0061,7.04E-14,6.12E-03,1.1506E-11
Position:,0.0062,Truth:,6.22E-03,Calculated:,6.22E-03,Error:,7.64E-14,,,0.0062,7.64E-14,6.22E-03,1.22795E-11
Position:,0.0063,Truth:,6.32E-03,Calculated:,6.32E-03,Error:,8.28E-14,,,0.0063,8.28E-14,6.32E-03,1.30963E-11
Position:,0.0064,Truth:,6.42E-03,Calculated:,6.42E-03,Error:,8.96E-14,,,0.0064,8.96E-14,6.42E-03,1.39623E-11
Position:,0.0065,Truth:,6.52E-03,Calculated:,6.52E-03,Error:,9.67E-14,,,0.0065,9.67E-14,6.52E-03,1.48349E-11
Position:,0.0066,Truth:,6.62E-03,Calculated:,6.62E-03,Error:,1.05E-13,,,0.0066,1.05E-13,6.62E-03,1.57924E-11
Position:,0.0067,Truth:,6.72E-03,Calculated:,6.72E-03,Error:,1.13E-13,,,0.0067,1.13E-13,6.72E-03,1.67617E-11
Position:,0.0068,Truth:,6.82E-03,Calculated:,6.82E-03,Error:,1.21E-13,,,0.0068,1.21E-13,6.82E-03,1.77897E-11
Position:,0.0069,Truth:,6.92E-03,Calculated:,6.92E-03,Error:,1.30E-13,,,0.0069,1.30E-13,6.92E-03,1.88418E-11
Position:,0.007,Truth:,7.02E-03,Calculated:,7.02E-03,Error:,1.40E-13,,,0.007,1.40E-13,7.02E-03,1.99659E-11
Position:,0.0071,Truth:,7.13E-03,Calculated:,7.13E-03,Error:,1.51E-13,,,0.0071,1.51E-13,7.13E-03,2.11309E-11
Position:,0.0072,Truth:,7.23E-03,Calculated:,7.23E-03,Error:,1.62E-13,,,0.0072,1.62E-13,7.23E-03,2.23551E-11
Position:,0.0073,Truth:,7.33E-03,Calculated:,7.33E-03,Error:,1.73E-13,,,0.0073,1.73E-13,7.33E-03,2.36117E-11
Position:,0.0074,Truth:,7.43E-03,Calculated:,7.43E-03,Error:,1.85E-13,,,0.0074,1.85E-13,7.43E-03,2.49217E-11
Position:,0.0075,Truth:,7.53E-03,Calculated:,7.53E-03,Error:,1.98E-13,,,0.0075,1.98E-13,7.53E-03,2.62921E-11
Position:,0.0076,Truth:,7.63E-03,Calculated:,7.63E-03,Error:,2.12E-13,,,0.0076,2.12E-13,7.63E-03,2.77451E-11
Position:,0.0077,Truth:,7.73E-03,Calculated:,7.73E-03,Error:,2.26E-13,,,0.0077,2.26E-13,7.73E-03,2.92309E-11
Position:,0.0078,Truth:,7.83E-03,Calculated:,7.83E-03,Error:,2.41E-13,,,0.0078,2.41E-13,7.83E-03,3.07758E-11
Position:,0.0079,Truth:,7.93E-03,Calculated:,7.93E-03,Error:,2.57E-13,,,0.0079,2.57E-13,7.93E-03,3.23632E-11
Position:,0.008,Truth:,8.03E-03,Calculated:,8.03E-03,Error:,2.73E-13,,,0.008,2.73E-13,8.03E-03,3.40483E-11
Position:,0.0081,Truth:,8.13E-03,Calculated:,8.13E-03,Error:,2.91E-13,,,0.0081,2.91E-13,8.13E-03,3.57887E-11
Position:,0.0082,Truth:,8.23E-03,Calculated:,8.23E-03,Error:,3.09E-13,,,0.0082,3.09E-13,8.23E-03,3.75867E-11
Position:,0.0083,Truth:,8.33E-03,Calculated:,8.33E-03,Error:,3.29E-13,,,0.0083,3.29E-13,8.33E-03,3.94321E-11
Position:,0.0084,Truth:,8.44E-03,Calculated:,8.44E-03,Error:,3.49E-13,,,0.0084,3.49E-13,8.44E-03,4.13818E-11
