100, 3.15149340107099e+00, -2.50148188873242e+00,
100000, 3.14160265348972e+00, -5.49715421882121e+00,
200000, 3.14159765356476e+00, -5.79818204255271e+00,
300000, 3.14159598691202e+00, -5.97427257448316e+00,
400000, 3.14159515358349e+00, -6.09921095828158e+00,
500000, 3.14159465358569e+00, -6.19612076752678e+00,
600000, 3.14159432025357e+00, -6.27530187600318e+00,
700000, 3.14159408215908e+00, -6.34224856461069e+00,
800000, 3.14159390358815e+00, -6.40024042888754e+00,
900000, 3.14159376469964e+00, -6.45139287683089e+00,
1000000, 3.14159365358877e+00, -6.49715031506710e+00,
