0,       1.2518e+00,
1,       2.1609e-02,
2,       -2.2042e-02,
3,       2.2799e-02,
4,       -2.3840e-02,
5,       2.5452e-02,
6,       -2.7847e-02,
7,       3.1191e-02,
8,       -3.6376e-02,
9,       4.4767e-02,
10,      -6.0240e-02,
11,      9.8276e-02,
12,      -3.2755e-01,
13,      -2.0792e-01,
14,      7.4174e-02,
15,      -4.3352e-02,
16,      2.9709e-02,
17,      -2.1853e-02,
18,      1.6668e-02,
19,      -1.2987e-02,
20,      9.9376e-03,
21,      -7.2608e-03,
22,      4.4383e-03,
23,      -1.7521e-04,
24,      -1.1755e-02,
25,      -8.6776e-02,
26,      2.0008e-02,
27,      -1.3519e-02,
28,      1.0904e-02,
29,      -9.3109e-03,
30,      8.3118e-03,
31,      -7.7156e-03,
32,      7.2514e-03,
33,      -7.1264e-03,
34,      7.2809e-03,
35,      -7.8733e-03,
36,      1.0147e-02,
37,      -3.8258e-02,
38,      -4.4917e-03,
39,      -6.6962e-05,
40,      1.2752e-03,
41,      -1.7019e-03,
42,      2.0332e-03,
43,      -2.3135e-03,
44,      2.4796e-03,
45,      -2.8065e-03,
46,      3.1659e-03,
47,      -3.7318e-03,
48,      5.1554e-03,
49,      -1.1488e-02,
50,      -1.4052e-02,
